Data,R*
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,3.72139050439118
2020-03-03,3.55169765729839
2020-03-04,3.5071216099980767
2020-03-05,3.2162344983109463
2020-03-06,3.0086751496831083
2020-03-07,3.0233629807657176
2020-03-08,2.7983804713409937
2020-03-09,2.8906689573491398
2020-03-10,2.703597786684435
2020-03-11,2.7542782383974966
2020-03-12,2.74828574486507
2020-03-13,2.7228249581032613
2020-03-14,2.6133418304579097
2020-03-15,2.5057925993039745
2020-03-16,2.364269269954922
2020-03-17,2.4384140036929685
2020-03-18,2.28228828723956
2020-03-19,2.221121558443776
2020-03-20,2.194235011899054
2020-03-21,2.128045009105918
2020-03-22,2.050401524134622
2020-03-23,2.0050237661257135
2020-03-24,1.937364314028478
2020-03-25,1.8934487770677122
2020-03-26,1.8036941046828465
2020-03-27,1.7225877980933282
2020-03-28,1.6372893909379107
2020-03-29,1.59146263752773
2020-03-30,1.5196281069006732
2020-03-31,1.4660443110277743
2020-04-01,1.43328712355355
2020-04-02,1.3755401130088132
2020-04-03,1.3230970403722555
2020-04-04,1.2970285825760408
2020-04-05,1.271436143569832
2020-04-06,1.2701347152835285
2020-04-07,1.2468429201536733
2020-04-08,1.2153311659093256
2020-04-09,1.1980145768809525
2020-04-10,1.1806990998737814
2020-04-11,1.1638140925840958
2020-04-12,1.1464312580205833
2020-04-13,1.1363931113771284
2020-04-14,1.1326571385191169
2020-04-15,1.1302459546748438
2020-04-16,1.1230519124226663
2020-04-17,1.1089312571962686
2020-04-18,1.0927668972216922
2020-04-19,1.0733601514511475
2020-04-20,1.0560976547332956
2020-04-21,1.0414618137953229
2020-04-22,1.0275231565683918
2020-04-23,1.0029032561853277
2020-04-24,0.9947605123609559
2020-04-25,0.9768392066285961
2020-04-26,0.974160087802871
2020-04-27,0.9708787230523998
2020-04-28,0.9697570191494993
2020-04-29,0.96316176213863
2020-04-30,0.9346264063203495
2020-05-01,0.9307739632232186
2020-05-02,0.9359596844664814
2020-05-03,0.9261334841050556
2020-05-04,0.9270958609817733
2020-05-05,0.9148993929646646
2020-05-06,0.827658485857694
2020-05-07,0.8393654361734502
2020-05-08,0.8230053999948862
2020-05-09,0.779635234414743
2020-05-10,0.7631431905241765
2020-05-11,0.7527348514388529
2020-05-12,0.7531509034465077
2020-05-13,0.8018788440673035
2020-05-14,0.7954209718629802
2020-05-15,0.74381414437053
2020-05-16,0.7561930927768583
2020-05-17,0.7453251623532225
2020-05-18,0.7240160214967974
2020-05-19,0.7153971060994468
2020-05-20,0.7128225305809305
2020-05-21,0.7090580182938384
2020-05-22,0.7497258955514712
2020-05-23,0.7492791213217929
2020-05-24,0.7573172871340152
2020-05-25,0.7618526531908901
2020-05-26,0.7336347865040221
2020-05-27,0.7325306633577391
2020-05-28,0.692317501839792
2020-05-29,0.6778749493543246
2020-05-30,0.6412653362252182
2020-05-31,0.6195230800673911
2020-06-01,0.626770710999261
2020-06-02,0.6361478652642292
2020-06-03,0.6657007038747129
2020-06-04,0.7144468186888842
2020-06-05,0.7143535352886432
2020-06-06,0.7466555162549648
2020-06-07,0.7722092512213856
2020-06-08,0.7751548067220598
2020-06-09,0.751111893579487
